trade_date,code,name,open,high,low,close,volume,amount
2020-01-02,000001,平安银行,14.18,14.48,14.08,14.4,1530232.0,2571196480.0
2020-01-02,002230,科大讯飞,33.91,34.84,33.91,34.34,488438.0,1713274176.0
2020-01-02,300750,宁德时代,45.75,46.66,44.91,45.92,206116.0,2213454656.0
2020-01-02,600000,浦发银行,9.93,10.1,9.91,9.93,516291.0,647446160.0
2020-01-03,000001,平安银行,14.47,14.84,14.45,14.71,1116195.0,1914495472.0
2020-01-03,002230,科大讯飞,34.26,34.59,33.73,33.96,440194.0,1531343104.0
2020-01-03,300750,宁德时代,45.92,47.41,45.06,47.05,180842.0,1956828816.0
2020-01-03,600000,浦发银行,10.03,10.09,9.93,10.06,380188.0,477053360.0
2020-01-06,000001,平安银行,14.54,14.87,14.44,14.6,862084.0,1477930192.0
2020-01-06,002230,科大讯飞,33.6,36.93,33.51,36.02,1243364.0,4546572800.0
2020-01-06,300750,宁德时代,48.02,49.8,46.08,46.8,265002.0,2958351776.0
2020-01-06,600000,浦发银行,9.98,10.11,9.88,9.92,410012.0,514432544.0
2020-01-07,000001,平安银行,14.66,14.81,14.48,14.68,728608.0,1247047136.0
2020-01-07,002230,科大讯飞,36.01,36.12,35.51,36.05,497330.0,1816298064.0
2020-01-07,300750,宁德时代,46.75,47.1,45.86,46.47,135075.0,1461154192.0
2020-01-07,600000,浦发银行,9.97,10.06,9.92,9.96,284215.0,355811760.0
2020-01-08,000001,平安银行,14.53,14.58,14.16,14.19,847824.0,1423608816.0
2020-01-08,002230,科大讯飞,35.75,35.96,35.33,35.35,471254.0,1709205344.0
2020-01-08,300750,宁德时代,46.75,48.13,45.69,47.08,192241.0,2098374352.0
2020-01-08,600000,浦发银行,9.87,9.91,9.71,9.78,352405.0,434980272.0
2020-01-09,000001,平安银行,14.34,14.46,14.06,14.32,1031637.0,1725326800.0
2020-01-09,002230,科大讯飞,35.88,36.14,35.54,35.84,464840.0,1698261952.0
2020-01-09,300750,宁德时代,48.41,50.36,47.31,50.08,201644.0,2287090672.0
2020-01-09,600000,浦发银行,9.85,9.89,9.81,9.83,261514.0,324168064.0
2020-01-10,000001,平安银行,14.32,14.34,14.05,14.22,585548.0,975154816.0
2020-01-10,002230,科大讯飞,35.75,36.41,35.31,35.56,395859.0,1446077456.0
2020-01-10,300750,宁德时代,49.63,49.63,48.23,49.14,144280.0,1628569248.0
2020-01-10,600000,浦发银行,9.83,9.88,9.77,9.85,183213.0,226580302.0
2020-01-13,000001,平安银行,14.28,14.56,14.14,14.52,872133.0,1468271680.0
2020-01-13,002230,科大讯飞,35.65,36.58,35.5,36.29,501022.0,1846205648.0
2020-01-13,300750,宁德时代,50.63,52.01,49.63,51.13,215974.0,2516539920.0
2020-01-13,600000,浦发银行,9.86,9.87,9.77,9.87,207156.0,255982380.0
2020-01-14,000001,平安银行,14.52,14.8,14.29,14.29,1304494.0,2217608848.0
2020-01-14,002230,科大讯飞,36.4,36.48,35.65,35.7,374737.0,1371788080.0
2020-01-14,300750,宁德时代,52.58,53.27,50.18,50.47,217685.0,2585867744.0
2020-01-14,600000,浦发银行,9.86,10.15,9.85,9.89,299946.0,374971648.0
2020-01-15,000001,平安银行,14.32,14.39,13.98,14.05,859439.0,1424889232.0
2020-01-15,002230,科大讯飞,35.61,36.0,35.1,35.58,343199.0,1240427488.0
