trade_date,code,rank,u1_score,ret_1
2020-06-04,0,1,0.0238113928838257,
2020-06-04,1,2,0.006216184885698,0.0026595744680852906
2020-06-04,2,3,-0.0116618132132014,
2020-06-04,3,4,-0.0135614408564254,
2020-06-05,0,1,0.0140992154976781,
2020-06-05,1,2,0.009185678405066,0.0017683465959328348
2020-06-05,2,3,0.0056602623032294,
2020-06-05,3,4,0.0043223848168375,
2020-06-08,0,1,0.0178305569716961,
2020-06-08,1,2,0.0049377750383535,0.0026478375992937675
2020-06-08,2,3,0.0040471183914062,
2020-06-08,3,4,-0.0135008811003179,
2020-06-09,0,1,0.0318706247782125,
2020-06-09,1,2,0.0108964677780569,0.004401408450704247
2020-06-09,2,3,0.006198510177394,
2020-06-09,3,4,-0.01137582671438,
2020-06-10,0,1,0.0326337306655904,
2020-06-10,1,2,0.0325270918885812,-0.015775635407537236
2020-06-10,2,3,-0.0138398007310832,
2020-06-10,3,4,-0.0226915576037862,
2020-06-11,0,1,0.033027310508903,
2020-06-11,1,2,-0.0125230191234729,-0.03650934995547639
2020-06-11,2,3,-0.0271668643327293,
2020-06-11,3,4,-0.0330067409450369,
2020-06-12,0,1,0.0115454236970804,
2020-06-12,1,2,0.0026398492780143,-0.008317929759704246
2020-06-12,2,3,-0.0114384452335805,
2020-06-12,3,4,-0.0339670377382408,
2020-06-15,0,1,-0.0116423174414201,
2020-06-15,1,2,-0.0185635806825639,-0.01584342963653307
2020-06-15,2,3,-0.0342974414398283,
2020-06-15,3,4,-0.0343970951250862,
2020-06-16,0,1,0.0330342918822889,
2020-06-16,1,2,0.0280362724870033,0.006628787878787845
2020-06-16,2,3,0.0161569660249679,
2020-06-16,3,4,0.0078840834668054,
2020-06-17,0,1,0.0036229970296028,
2020-06-17,1,2,0.0029730240258497,-0.0037629350893697566
2020-06-17,2,3,-0.0063505435309177,
2020-06-17,3,4,-0.0166389350998796,
2020-06-18,0,1,0.0114054780376747,
2020-06-18,1,2,0.0050484770226877,-0.008498583569405138
2020-06-18,2,3,0.0001983836028437,
2020-06-18,3,4,-0.0109360854918983,
2020-06-19,0,1,0.0339186961713409,
2020-06-19,1,2,0.0161985633766909,0.003809523809523707
2020-06-19,2,3,0.0076809996369828,
2020-06-19,3,4,0.0051112150741741,
2020-06-22,0,1,0.0100934465819538,
