trade_date,code,rank,u1_score,ret_1
2020-06-04,0,1,0.023576715563104,
2020-06-04,1,2,0.0053179407471901,0.0026595744680852906
2020-06-04,2,3,-0.011841836611032,
2020-06-05,0,1,0.0133858630975563,
2020-06-05,1,2,0.0078632836651271,0.0017683465959328348
2020-06-05,2,3,0.0054345061197934,
2020-06-08,0,1,0.017625943642127,
2020-06-08,1,2,0.0042330514145839,0.0026478375992937675
2020-06-08,2,3,0.0034794940009487,
2020-06-09,0,1,0.0327993104747172,
2020-06-09,1,2,0.0102285236972079,0.004401408450704247
2020-06-09,2,3,0.0055729727428828,
2020-06-10,0,1,0.0333345075607559,
2020-06-10,1,2,0.0333345075607559,-0.015775635407537236
2020-06-10,2,3,-0.0146323783998772,
2020-06-11,0,1,0.0337091246908633,
2020-06-11,1,2,-0.0135906950423408,-0.03650934995547639
2020-06-11,2,3,-0.0267584215761023,
2020-06-12,0,1,0.0110998250280968,
2020-06-12,1,2,0.0023884430013842,-0.008317929759704246
2020-06-12,2,3,-0.0121668559164124,
2020-06-15,0,1,-0.0124215313059497,
2020-06-15,1,2,-0.020339990310725,-0.01584342963653307
2020-06-15,2,3,-0.0340069910006151,
2020-06-16,0,1,0.0341017850019705,
2020-06-16,1,2,0.0273747782953432,0.006628787878787845
2020-06-16,2,3,0.0138198073973915,
2020-06-17,0,1,0.0034995681356991,
2020-06-17,1,2,0.0026193372811325,-0.0037629350893697566
2020-06-17,2,3,-0.0070176917566254,
2020-06-18,0,1,0.0109252527349037,
2020-06-18,1,2,0.0052145933058752,-0.008498583569405138
2020-06-18,2,3,0.0007366348186,
2020-06-19,0,1,0.0346149533925738,
2020-06-19,1,2,0.0149564828362371,0.003809523809523707
2020-06-19,2,3,0.0074431060577417,
2020-06-22,0,1,0.0095662504836431,
2020-06-22,1,2,-0.0110028169240209,-0.015180265654648806
2020-06-22,2,3,-0.011775244859555,
2020-06-23,0,1,-0.0061706928065214,
2020-06-23,1,2,-0.009780079504197,-0.003853564547206201
2020-06-23,2,3,-0.0104678434261461,
2020-06-24,0,1,0.0351576309556856,
2020-06-24,1,2,0.0314557794777437,0.01934235976789167
2020-06-24,2,3,0.0192671746253828,
2020-06-29,0,1,0.0015358272905108,
2020-06-29,1,2,-0.0059266060092703,0.0
2020-06-29,2,3,-0.0097468166126748,
2020-06-30,0,1,0.0350821002275816,
2020-06-30,1,2,0.002931620978352,0.0
2020-06-30,2,3,0.0013337956463652,
2020-07-01,0,1,0.0349997054296488,
2020-07-01,1,2,0.0300103863864553,0.030360531309297834
2020-07-01,2,3,-0.0090380047002498,
2020-07-02,0,1,0.0351250249560069,
2020-07-02,1,2,0.0351250249560069,0.028545119705340793
2020-07-02,2,3,0.034409232094762,
2020-07-03,0,1,0.0353867907964076,
2020-07-03,1,2,0.0160141196640618,0.07341092211280209
2020-07-03,2,3,0.0052481587090426,
2020-07-06,0,1,0.0353304506995513,
2020-07-06,1,2,0.0353304506995513,0.11926605504587151
2020-07-06,2,3,0.0353304506995513,
2020-07-07,0,1,0.036470008189438,
2020-07-07,1,2,-0.0096601380560856,-0.014903129657227954
2020-07-07,2,3,-0.010462543678613,
2020-07-08,0,1,0.0329260352584245,
2020-07-08,1,2,0.0174438583358646,0.021180030257186067
2020-07-08,2,3,0.0040078726347119,
2020-07-09,0,1,0.0366608286863103,
2020-07-09,1,2,-0.0118823985726834,-0.017037037037037073
2020-07-09,2,3,-0.0221020340920269,
2020-07-10,0,1,-0.0371305469528857,
2020-07-10,1,2,-0.0371305469528857,-0.05048982667671442
2020-07-10,2,3,-0.0371305469528857,
2020-07-13,0,1,0.016064760951878,
2020-07-13,1,2,0.00708072101749,0.0023809523809523725
2020-07-13,2,3,0.0039559653630059,
2020-07-14,0,1,-0.0149685186464822,
2020-07-14,1,2,-0.0379745596549706,-0.016627078384798155
2020-07-14,2,3,-0.0379745596549706,
2020-07-15,0,1,-0.0374480505884048,
2020-07-15,1,2,-0.0383571446011667,-0.03301127214170696
2020-07-15,2,3,-0.0383571446011667,
2020-07-16,0,1,0.0043659254697842,
2020-07-16,1,2,-0.0108735105721985,-0.009991673605328821
